128.198.68.166 - - [10/Apr/2017:16:34:45 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute4.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:36:33 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute4.jpg HTTP/1.1" 304 182 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:36:36 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute5.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:36:39 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute6.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:36:42 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute1.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:36:45 -0600] "GET /My_Web_Page_Mathew_Flynn/images/ute2.jpg HTTP/1.1" 304 181 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
128.198.68.166 - - [10/Apr/2017:16:44:33 -0600] "-" 408 0 "-" "-"
::1 - - [10/Apr/2017:16:44:35 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
128.198.68.166 - - [10/Apr/2017:16:48:21 -0600] "GET / HTTP/1.1" 200 720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:23 -0600] "GET /My_Web_Page_Mathew_Flynn/ HTTP/1.1" 200 810 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:24 -0600] "GET /My_Web_Page_Mathew_Flynn/index1.html HTTP/1.1" 200 1268 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:48:24 -0600] "GET /My_Web_Page_Mathew_Flynn/scripts/rotate.js HTTP/1.1" 200 929 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/index1.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
